종사자수_총소계,연간급여_합계,건물소유면적,건물임차면적,건물무상면적,건물합계면적,매출액,영업비용,인건비,임차료,기타영업비용,영업이익,사업체승수,종사자승수,매출액승수
14,276,,2331,,2331,910,1102,280,456,366,-192,1,1,1
69,1969,18499,,,18499,4863,5055,2425,27,2603,-192,1,1,1
17,157,,1712,,1712,146,337,174,65,98,-191,1.33333,1.33628,1.1854914
33,730,21545,431,,21976,3242,3430,837,90,2503,-188,1,1,1
12,541,660,,,660,1055,1243,661,1,581,-188,3.66667,3.82432,3.1552314
19,401,13200,,,13200,1797,1985,446,686,853,-188,1,1,1
18,292,,1157,,1157,1263,1450,292,164,994,-187,1.66667,1.48936,1.3888889
80,3827,,627,,627,20328,20509,4381,2406,13722,-181,1,1,1
21,235,2600,,,2600,640,820,271,192,357,-180,1.16667,1.19079,1.0577374
28,917,2924,75,,2999,3106,3286,1043,276,1967,-180,1,1,1
5,156,193,,,193,3990,4169,196,58,3915,-179,77.11864,74.42162,46.338742
6,164,,957,,957,120,299,164,36,99,-179,1,1,1
20,621,3700,,,3700,2464,2643,739,311,1593,-179,1,1,1
12,220,,330,,330,383,562,250,38,274,-179,1,1,1
13,4,,,,,79,255,5,2,248,-176,1,1,1
13,35,,2008,,2008,256,431,46,8,377,-175,1,1,1
8,578,2710,0,0,2710,1866,2040,609,161,1270,-174,1,1,1
11,152,429,,,429,657,830,177,97,556,-173,3.2381,3.24806,4.0543366
18,291,3800,,,3800,991,1163,317,0,846,-172,1,1,1
30,1176,8322,,,8322,1753,1923,1176,,747,-170,1,1,1
21,337,,693,,693,988,1158,347,97,714,-170,1,1,1
3,171,1389,,,1389,53,222,179,0,43,-169,47.75,40.06667,42.1719981
3,47,,208,,208,147,316,47,0,269,-169,6,4.92208,3.7729586
244,3145,33000,,,33000,10384,10552,3544,479,6529,-168,1,1,1
9,76,,198,,198,952,1120,78,224,818,-168,3.33333,3.02273,1.5185888
7,132,2640,,,2640,208,376,138,0,238,-168,2,1.80952,1.5844156
22,538,,264,,264,1212,1380,570,182,628,-168,3.25,2.74783,3.503923
15,647,,120,,120,2609,2776,791,195,1790,-167,2,2.0493,1.7454795
39,997,,7535,,7535,3664,3831,1135,134,2562,-167,1,1,1
11,146,,198,,198,661,825,218,51,556,-164,1.5,1.47183,1.2840018
1,18,,,330,330,38,201,19,1,181,-163,63.23256,56.09302,50.3969944
30,563,8500,,,8500,2233,2396,670,282,1444,-163,1,1,1
3,26,,660,,660,325,488,31,126,331,-163,15.33333,11.78261,5.2750592
7,91,,,,,340,502,100,4,398,-162,32.64286,28.62136,13.6707615
5,398,581,,,581,812,974,423,49,502,-162,1.25,1.17857,1.0307226
34,556,6458,,,6458,2206,2367,662,278,1427,-161,1,1,1
12,52,,536,,536,537,698,231,48,419,-161,3.2381,3.24806,4.0543366
10,51,231,,,231,297,458,63,34,361,-161,2,2.01163,1.9135284
14,218,,3191,,3191,623,783,223,241,319,-160,1,1,1
12,188,,83,,83,50,209,194,7,8,-159,18.5,16.83019,30.9229122
18,96,11380,,,11380,369,527,116,31,380,-158,1,1,1
13,403,,306,,306,1387,1545,452,129,964,-158,7.9375,7.21429,6.1277767
14,234,,653,,653,625,782,239,62,481,-157,7.47059,7.29091,5.7824966
14,162,,165,,165,255,412,162,31,219,-157,1,1,1
17,287,,3300,,3300,3673,3829,361,66,3402,-156,2.2,2.01408,3.3550794
80,465,39839,,,39839,582,737,525,1,211,-155,1,1,1
22,162,,495,,495,360,515,162,118,235,-155,1,1,1
52,561,,330,,330,1900,2051,597,220,1234,-151,1,1,1
13,267,,196,,196,505,656,304,0,352,-151,5.5,5.14599,4.6869474
37,108,,792,,792,550,700,119,91,490,-150,2.33333,2.38356,2.6051628
11,318,1320,,,1320,1424,1573,353,544,676,-149,1,1,1
51,848,,,,,4423,4572,1109,812,2651,-149,1,1,1
103,2029,,4000,,4000,10834,10983,2344,7200,1439,-149,1,1,1
7,125,,330,,330,449,597,135,108,354,-148,9.5,8.98,7.6491433
3,89,1480,,,1480,33,181,123,0,58,-148,3,3.33333,8.1515152
35,640,,660,,660,2659,2807,737,208,1862,-148,3.83721,3.24536,3.714122
85,1015,,1320,,1320,5411,5559,1148,123,4288,-148,1,1,1
46,1971,1215,,,1215,3669,3816,2388,45,1383,-147,1,1,1
8,67,,165,,165,835,982,69,196,717,-147,3.33333,3.02273,1.5185888
